"Q3_4","Q3_5","Q5","Q16","Q26","Q30","ppage","educ","race","gender","income_cat","voter_category","pols_dont_care","media_greed","election_results_matter","party","vote_freq","income_cat_coded","voter_cat_coded","educ_coded"
2,2,1,2,1,3,64,"Some college","Other/Mixed","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,2
4,3,1,2,1,2,82,"Some college","White","Male","$125k or more","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,2
2,2,1,2,1,3,58,"College","White","Female","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,1,1,1,1,3,55,"College","White","Male","$40-75k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,3
1,2,1,1,1,1,84,"Some college","White","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
2,3,1,1,1,3,66,"Some college","White","Female","$40-75k","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,2
2,2,2,3,1,3,63,"Some college","Black","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Independent","Always/Almost Always",2,3,2
1,3,1,1,1,1,75,"College","White","Male","$75-125k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
2,2,2,1,1,2,67,"Some college","White","Female","$75-125k","always","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,3,2
1,1,1,4,1,1,59,"High school or less","White","Male","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,1
1,2,2,1,1,3,59,"Some college","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",4,2,2
4,3,1,2,1,2,44,"College","Other/Mixed","Female","$75-125k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
1,2,1,1,1,1,73,"Some college","White","Female","$40-75k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,2
1,4,1,1,1,4,46,"College","White","Female","$125k or more","sporadic","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Another Party","Always/Almost Always",4,2,3
4,1,1,2,1,2,36,"College","White","Female","$40-75k","always","Strongly Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,3
3,3,1,3,1,2,43,"High school or less","White","Male","$40-75k","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,1
1,1,2,3,1,1,56,"College","White","Female","$75-125k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,3,3
1,3,1,1,1,1,80,"High school or less","White","Female","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
1,2,1,3,1,1,50,"College","White","Female","$75-125k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
2,2,1,2,1,5,57,"High school or less","White","Female","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,1,1
3,3,1,1,1,2,66,"Some college","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,2
2,2,1,-1,4,-1,29,"Some college","White","Female","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters",NA,"Never",3,1,2
3,2,1,1,1,1,43,"College","White","Male","$125k or more","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,3
1,2,1,1,1,1,56,"Some college","White","Male","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,1,2
1,2,1,1,1,3,64,"Some college","White","Female","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,2
1,1,2,1,4,3,38,"Some college","Other/Mixed","Male","$125k or more","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Never",4,1,2
2,2,1,2,4,2,57,"High school or less","White","Female","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Never",1,1,1
1,1,1,2,2,2,26,"College","Other/Mixed","Male","$125k or more","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Sometimes",4,1,3
3,2,1,3,1,2,75,"College","Black","Male","$40-75k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,3
3,1,1,1,1,3,54,"Some college","Other/Mixed","Female","$75-125k","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,2
1,1,1,1,1,4,73,"College","Other/Mixed","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Another Party","Always/Almost Always",2,2,3
1,2,1,1,1,1,27,"College","White","Female","$40-75k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,1,3
1,1,1,2,1,4,28,"College","White","Male","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Another Party","Always/Almost Always",1,2,3
3,3,2,2,3,3,49,"College","Other/Mixed","Male","$125k or more","rarely/never","Somewhat Disagree","Somewhat Disagree","Things will be pretty much the same","Independent","Rarely",4,1,3
1,2,1,2,3,3,56,"High school or less","White","Male","$40-75k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Rarely",2,1,1
4,2,1,2,1,2,59,"College","Black","Male","$125k or more","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
3,2,1,3,1,3,72,"High school or less","White","Male","$75-125k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,1
-1,-1,2,2,-1,3,39,"Some college","White","Male","Less than $40k","rarely/never",NA,NA,"Things will be pretty much the same","Independent",NA,1,1,2
2,2,1,2,2,3,40,"College","White","Male","$125k or more","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Sometimes",4,1,3
2,2,1,2,1,2,62,"High school or less","Black","Male","$40-75k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,1
1,2,1,3,1,1,75,"High school or less","White","Male","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,1,1
4,3,1,1,1,3,74,"College","White","Female","$75-125k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,3
2,3,1,1,1,1,62,"High school or less","Hispanic","Female","$75-125k","rarely/never","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,1,1
1,1,2,2,1,2,29,"College","White","Male","$125k or more","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Always/Almost Always",4,3,3
1,1,2,2,1,3,77,"High school or less","White","Female","$75-125k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",3,3,1
2,3,1,2,1,5,43,"College","White","Female","$125k or more","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","No Preference","Always/Almost Always",4,2,3
2,2,1,1,1,2,64,"Some college","Other/Mixed","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,2
2,2,1,2,1,2,65,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,1
2,2,1,2,1,1,89,"Some college","Black","Male","$75-125k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,2
3,2,1,-1,1,2,68,"Some college","Black","Female","Less than $40k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,2
3,2,1,1,1,1,69,"High school or less","White","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,1
2,3,1,3,1,2,79,"College","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,3
1,3,1,1,1,1,71,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,1
3,2,1,2,1,3,66,"Some college","White","Male","$40-75k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,2
2,3,1,1,1,1,72,"High school or less","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,1
2,3,1,2,4,3,53,"High school or less","White","Female","$40-75k","rarely/never","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Never",2,1,1
1,2,1,3,1,3,62,"College","White","Male","$125k or more","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,1,3
3,3,1,1,4,3,30,"College","Black","Male","$75-125k","rarely/never","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Independent","Never",3,1,3
2,2,1,2,1,3,43,"College","Hispanic","Female","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
-1,2,2,4,3,2,72,"High school or less","White","Female","$40-75k","rarely/never","Somewhat Agree",NA,"Things will be pretty much the same","Democrat","Rarely",2,1,1
1,2,1,1,1,1,65,"Some college","White","Female","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,2
2,1,2,2,4,5,59,"High school or less","White","Male","$40-75k","rarely/never","Strongly Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Never",2,1,1
3,2,1,1,1,2,69,"High school or less","Black","Male","Less than $40k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,1
2,2,1,3,1,2,76,"Some college","Black","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,2
1,2,1,1,1,1,74,"Some college","White","Female","Less than $40k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,2
1,2,1,2,1,3,69,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
4,4,1,1,1,1,81,"College","White","Male","$125k or more","always","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
2,2,1,2,2,2,56,"High school or less","Black","Male","$125k or more","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Sometimes",4,2,1
2,2,1,1,1,1,75,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,1
1,2,1,1,1,5,44,"College","Black","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,2,3
1,3,1,1,1,1,47,"Some college","White","Female","$125k or more","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,2
3,3,1,1,1,2,77,"College","Black","Female","$125k or more","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
1,3,1,1,1,1,63,"College","White","Female","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,3
4,1,1,1,1,2,63,"Some college","White","Male","$75-125k","always","Strongly Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
1,3,1,1,1,1,82,"High school or less","White","Female","$125k or more","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,1
1,3,1,1,1,5,69,"College","Hispanic","Female","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",2,3,3
2,2,1,1,1,1,49,"College","White","Male","$75-125k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
1,1,1,1,1,2,76,"Some college","Black","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
1,1,1,1,1,1,57,"Some college","White","Female","$125k or more","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,2
1,2,1,1,1,1,57,"College","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,3
1,3,1,1,1,1,41,"College","White","Female","$125k or more","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,3
1,4,1,1,1,1,78,"College","White","Female","Less than $40k","sporadic","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,3
2,2,1,1,1,5,72,"College","White","Male","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,1,3
2,2,2,3,1,3,77,"High school or less","White","Female","$75-125k","always","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Independent","Always/Almost Always",3,3,1
1,1,2,1,1,2,46,"College","Hispanic","Male","$75-125k","sporadic","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,2,3
4,3,1,2,1,2,73,"College","White","Male","Less than $40k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,3
1,2,1,1,1,1,60,"High school or less","White","Male","$40-75k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,1
2,3,1,1,1,1,89,"Some college","White","Female","$40-75k","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
1,1,2,3,3,3,29,"Some college","Black","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Rarely",1,1,2
1,2,1,1,1,1,64,"Some college","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,2
2,2,1,1,1,2,63,"Some college","White","Female","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,1,2
1,1,1,1,3,2,60,"High school or less","Black","Female","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Rarely",1,1,1
1,1,1,1,4,1,26,"College","White","Male","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Never",3,3,3
1,2,1,1,1,3,25,"College","White","Male","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,3
2,3,1,2,1,1,79,"High school or less","White","Female","$75-125k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
4,1,1,2,1,3,74,"College","Black","Female","$75-125k","sporadic","Strongly Agree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
1,3,1,1,1,1,73,"College","White","Female","$75-125k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
2,2,1,1,1,1,60,"College","White","Male","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
1,1,1,1,1,3,55,"Some college","White","Male","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,2
4,4,1,2,1,2,71,"College","White","Male","$125k or more","always","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,3
1,1,1,1,1,1,47,"Some college","White","Female","$125k or more","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,2
1,3,1,1,1,1,72,"College","Black","Male","$125k or more","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
1,1,2,4,4,5,22,"High school or less","White","Female","$75-125k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",3,1,1
1,3,1,1,1,5,64,"Some college","White","Male","$75-125k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,3,2
4,3,1,3,1,2,88,"Some college","White","Male","$40-75k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,2
1,2,1,1,1,3,66,"High school or less","White","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,1
1,1,1,2,1,2,81,"Some college","Black","Female","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
1,3,1,1,1,1,56,"High school or less","White","Female","$75-125k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
2,2,2,1,1,1,70,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,2,3
1,1,1,1,1,1,52,"High school or less","White","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,1,1
3,2,1,2,1,2,57,"Some college","Black","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
1,3,1,1,1,1,50,"College","White","Male","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,3
2,1,1,2,1,5,30,"Some college","White","Female","$75-125k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,3,2
1,2,1,1,1,1,60,"Some college","White","Female","$75-125k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,2
2,2,1,3,3,5,62,"High school or less","White","Female","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Rarely",1,1,1
1,4,1,1,1,1,62,"Some college","White","Female","Less than $40k","always","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,3,2
1,2,1,1,1,1,67,"High school or less","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
2,2,1,1,1,1,54,"High school or less","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
4,2,1,1,1,2,68,"High school or less","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,1
1,1,1,2,1,3,62,"Some college","Black","Male","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,2
1,4,1,1,1,1,78,"Some college","White","Female","$40-75k","always","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
2,3,2,1,1,1,65,"Some college","White","Male","$75-125k","always","Somewhat Disagree","Somewhat Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,3,2
1,1,1,3,4,5,36,"High school or less","White","Female","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Never",1,1,1
4,2,1,1,1,2,79,"Some college","White","Female","$125k or more","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,2
4,3,1,1,1,2,66,"College","White","Male","$125k or more","sporadic","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
3,2,1,2,1,3,58,"College","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,3
4,1,1,3,1,5,66,"Some college","Black","Female","Less than $40k","sporadic","Strongly Agree","Strongly Disagree","Who wins the Election really matters","No Preference","Always/Almost Always",1,2,2
3,1,1,3,1,2,60,"Some college","White","Female","Less than $40k","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,2
